0,1,2,3,4,5,6,7,8
White,Black/African American,American Indian & Alaska Native,Asian,Native Hawaiian & Other Pacific Islander,Hispanic or Latino,NAME,state,county
22595,456,272,80,1,23728,Genesee County ,New York,37
18905,418,55,114,4,19823,Greene County ,New York,39
23672,220,62,139,5,24409,Livingston County ,New York,51
25755,184,51,100,6,26324,Herkimer County ,New York,43
2215,4,7,5,2,2262,Hamilton County ,New York,41
40044,1653,202,412,78,43451,Jefferson County ,New York,45
430561,318303,4125,74514,378,916856,Kings County ,New York,47
10350,41,21,19,4,10514,Lewis County ,New York,49
81854,5937,899,574,16,90556,Niagara County ,New York,63
26977,199,208,127,7,27754,Madison County ,New York,53
239740,41518,840,7666,63,300422,Monroe County ,New York,55
18845,314,65,110,3,20272,Montgomery County ,New York,57
353551,43735,733,27342,76,448528,Nassau County ,New York,59
492595,106211,2928,80760,317,763846,New York County ,New York,61
32750,636,57,507,8,35041,Putnam County ,New York,79
84913,4212,232,1684,20,93028,Oneida County ,New York,65
158788,18610,1575,4342,48,187686,Onondaga County ,New York,67
41007,845,100,306,8,43019,Ontario County ,New York,69
102458,12085,514,2396,35,125925,Orange County ,New York,71
15204,522,75,41,6,16119,Orleans County ,New York,73
23838,223,46,182,5,24620,Otsego County ,New York,77
45332,241,189,150,4,46400,Oswego County ,New York,75
84778,1070,155,1140,16,88296,Saratoga County ,New York,91
367418,144548,3784,156333,410,780117,Queens County ,New York,81
58230,3868,153,1046,10,64702,Rensselaer County ,New York,83
127736,16836,503,10101,64,165516,Richmond County ,New York,85
76513,11077,251,5552,30,99242,Rockland County ,New York,87
40241,183,442,317,7,41605,St. Lawrence County ,New York,89
19892,118,39,108,6,20350,Tioga County ,New York,107
52953,5170,201,1593,32,62886,Schenectady County ,New York,93
12847,67,29,55,2,13166,Schoharie County ,New York,95
7382,32,27,16,3,7530,Schuyler County ,New York,97
13023,105,33,73,1,13393,Seneca County ,New York,99
38838,575,84,400,4,40344,Steuben County ,New York,101
429371,31482,1441,13510,128,499922,Suffolk County ,New York,103
26132,2126,130,320,10,30139,Sullivan County ,New York,105
23688,113,48,51,5,24142,Washington County ,New York,115
33619,1306,128,2817,15,38967,Tompkins County ,New York,109
64611,3022,219,842,12,71049,Ulster County ,New York,111
27326,191,56,123,2,27990,Warren County ,New York,113
34789,929,104,136,3,36585,Wayne County ,New York,117
250538,50671,1143,16257,118,347232,Westchester County ,New York,119
15250,23,36,34,3,15501,Wyoming County ,New York,121
9359,43,17,18,1,9517,Yates County ,New York,123
103391,14618,265,4585,28,126251,Albany County ,New York,1
30550,291,916,147,3,32263,Cattaraugus County ,New York,9
30354,547,96,94,9,31445,Cayuga County ,New York,11
315820,49641,2245,7145,65,383164,Erie County ,New York,29
74924,3265,187,2088,27,82167,Broome County ,New York,7
17866,66,32,76,2,18208,Allegany County ,New York,3
147184,183251,5391,14549,433,483449,Bronx County ,New York,5
51479,939,244,189,11,54244,Chautauqua County ,New York,13
32903,1574,87,328,8,35462,Chemung County ,New York,15
19973,96,72,64,1,20436,Chenango County ,New York,17
30539,346,111,190,4,31582,Clinton County ,New York,19
24207,952,51,248,6,25906,Columbia County ,New York,21
18016,236,56,116,2,18671,Cortland County ,New York,23
19296,170,55,105,4,19898,Delaware County ,New York,25
90942,9304,279,3101,29,107965,Dutchess County ,New York,27
15954,44,36,59,1,16262,Essex County ,New York,31
17376,72,1379,64,3,19054,Franklin County ,New York,33
21906,256,43,92,3,22554,Fulton County ,New York,35
