STATE,COUNTY,StateCounty,HHLDS,GINI,,----------------------INCOME BY QUINTILE LIMIT----------,,, ,COUNTY,,,---------------MEAN INCOME BY QUINTILE----------,,,95%,,,---------------PERCENT SHARE BY QUINTILE----------,,,95%
New York,New York County,36059,447803,0.451911686,32640,59000,86200,128000,241510,94924,17666,45922,72106,104740,234184,438674,0.037233669,0.096754087,0.151922728,0.220680095,0.493409421,0.231063752
New York,Niagara County,36061,739167,0.604015087,14500,35000,60500,113700,301810,88158,6621,24528,47105,83123,279415,594937,0.015068749,0.055641761,0.106858819,0.188568126,0.633862545,0.337409585
New York,Oneida County,36063,87877,0.422714465,16495,30085,47000,70215,115210,47550,9336,23270,38248,57816,109078,174569,0.039289995,0.097874128,0.160873104,0.243176991,0.458785782,0.183560886
New York,Onondaga County,36065,90507,0.44373732,15525,28430,44270,66000,111000,46361,8643,21897,35930,54215,111123,196730,0.037360122,0.094454599,0.154985434,0.23385975,0.479340095,0.212152977
New York,Ontario County,36067,181369,0.451442416,16815,32090,50205,77000,132200,53180,9085,24327,40927,62765,128795,222587,0.034191844,0.09148674,0.153914208,0.236041052,0.484366156,0.20927328
New York,Orange County,36069,38392,0.411115215,21315,36985,53000,77500,127085,55404,12648,28916,44695,64370,126389,218988,0.045711477,0.104377924,0.161334357,0.232352967,0.456223276,0.197617897
New York,Orleans County,36071,114809,0.409314664,23075,42070,62880,92000,145000,62848,12492,32739,52369,76157,140483,226051,0.039788989,0.104180598,0.16664709,0.242343552,0.447039771,0.179832778
New York,Oswego County,36073,15350,0.38190438,18950,31485,45540,65300,100860,45288,11278,25151,38039,54789,97185,152459,0.049805647,0.111072079,0.167985461,0.241954789,0.429182024,0.168320102
New York,Otsego County,36075,45525,0.410005755,16000,29575,44905,67100,105000,44660,8985,22764,36672,55078,99801,154280,0.04029425,0.101936223,0.164219088,0.246639643,0.446910797,0.172717441
New York,Putnam County,36077,23279,0.434070189,15085,27095,40995,61875,105700,43283,8638,21176,33588,50395,102616,176958,0.03996183,0.097844546,0.155196326,0.23285353,0.474143769,0.204411673
New York,Queens County,36079,32742,0.386961367,36150,60600,86825,120000,195000,86964,20997,49312,72887,102037,189586,312752,0.048322798,0.113403457,0.16761991,0.234656547,0.435997288,0.179811138
New York,Rensselaer County,36081,782646,0.444216624,17330,34000,52415,80060,135000,54128,8435,25695,42839,65097,128572,210615,0.031205049,0.0949369,0.158282811,0.240523935,0.475051306,0.194546673
New York,Richmond County,36083,59830,0.417724079,19000,34425,52460,76205,123265,52773,10615,26583,43029,63466,120170,198293,0.040272722,0.100740798,0.16306678,0.240515921,0.455403779,0.187865707
New York,Rockland County,36085,156416,0.430538352,22340,44185,66210,98000,160000,66947,10911,33377,54960,80745,154743,256011,0.032620392,0.099708016,0.164184291,0.241214687,0.462272614,0.19119922
New York,St Lawrence County,36087,92744,0.431539776,29995,55000,83250,121865,203075,85236,15390,42251,68396,101219,198925,339268,0.036125819,0.099136677,0.160482896,0.237500064,0.466754544,0.199013644
New York,Saratoga County,36089,40527,0.429958159,14000,25965,39670,59800,96000,40752,7859,19724,32455,48737,94983,157938,0.038643693,0.096793097,0.159267884,0.23917387,0.466121456,0.193766788
New York,Schenectady County,36091,78226,0.403363498,24000,40500,58740,85100,140505,60618,14286,32241,49310,70770,136482,229600,0.047166422,0.106371023,0.16268608,0.233489053,0.450287423,0.189377261
New York,Schoharie County,36093,59732,0.433049284,18000,33280,51855,77000,126100,53145,10206,25554,41964,63285,124717,210986,0.038426109,0.096165616,0.157920371,0.238153378,0.469334526,0.198495819
New York,Schuyler County,36095,12011,0.415445467,17000,30000,44000,64915,106695,45760,9863,23683,36642,53626,104985,176225,0.043109001,0.103510093,0.160147486,0.234380364,0.458853057,0.192554566
New York,Seneca County,36097,7375,0.394607229,17135,29775,42960,61610,102120,43658,10606,23376,35979,52020,96312,157470,0.048727189,0.107067687,0.16479372,0.2382698,0.441141604,0.180315656
New York,Steuben County,36099,12619,0.397597162,17700,30170,45000,66400,105415,45405,10453,23964,37268,54979,100358,155455,0.046240981,0.105537276,0.164127436,0.242124591,0.441969716,0.171153818
New York,Suffolk County,36101,39093,0.42909689,16210,28375,42750,64690,112000,45404,9658,22119,35453,52805,106987,183889,0.042605753,0.097423794,0.156156067,0.232584262,0.471230123,0.202488034
New York,Sullivan County,36103,469535,0.409857465,30170,53550,77375,110535,186500,79409,17013,42246,65166,92464,180157,305603,0.042862069,0.106399057,0.164125458,0.232876445,0.453736972,0.192419998
New York,Tioga County,36105,27681,0.447662479,15600,29570,45500,70000,120425,48359,8958,22186,37022,56570,117058,201673,0.037136547,0.091746321,0.153098273,0.233939052,0.484079807,0.208498135
New York,Tompkins County,36107,19779,0.393345774,19400,32940,47660,69760,113870,48561,11660,26138,40322,57296,107387,169083,0.048161678,0.107634032,0.166045668,0.235944767,0.442213855,0.174069223
New York,Ulster County,36109,36464,0.475093029,14560,29000,46940,72000,134610,50577,7670,21467,37381,58282,128087,225807,0.030341404,0.084886156,0.147814061,0.230463616,0.506494763,0.223227634
New York,Warren County,36111,67501,0.424698563,18700,34020,51725,77010,127315,52982,10348,26153,42677,63187,122547,202066,0.039126662,0.098717603,0.161087481,0.238505925,0.462562329,0.190678586
New York,Washington County,36113,25729,0.426337901,18600,31550,47000,69435,118010,50235,11341,25077,39130,56879,118748,210626,0.045175195,0.099837888,0.155782246,0.226447305,0.472757365,0.209635297
