Table with column headers in row 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
36,049,NY,Lewis County,"4,015","3,259","4,771",15.0,12.2,17.8,"1,423","1,103","1,743",21.8,16.9,26.7,978,763,"1,193",20.6,16.1,25.1,"41,093","38,623","43,563",,,,,,
36,051,NY,Livingston County,"8,051","6,603","9,499",13.5,11.1,15.9,"2,161","1,718","2,604",16.7,13.3,20.1,"1,349","1,048","1,650",13.9,10.8,17.0,"50,094","47,613","52,575",,,,,,
36,053,NY,Madison County,"7,854","6,203","9,505",11.5,9.1,13.9,"2,531","1,948","3,114",16.1,12.4,19.8,"1,608","1,230","1,986",13.7,10.5,16.9,"50,270","46,999","53,541",,,,,,
36,055,NY,Monroe County,"109,083","100,767","117,399",15.1,13.9,16.3,"35,025","31,531","38,519",21.0,18.9,23.1,"22,512","19,872","25,152",18.3,16.2,20.4,"49,564","48,147","50,981",,,,,,
36,057,NY,Montgomery County,"8,456","7,015","9,897",17.1,14.2,20.0,"3,214","2,593","3,835",27.9,22.5,33.3,"2,157","1,756","2,558",25.5,20.8,30.2,"40,035","37,225","42,845",,,,,,
36,059,NY,Nassau County,"81,301","70,668","91,934",6.2,5.4,7.0,"24,750","20,667","28,833",8.1,6.8,9.4,"16,506","13,604","19,408",7.0,5.8,8.2,"90,294","88,185","92,403",,,,,,
36,061,NY,New York County,"254,740","236,821","272,659",16.6,15.4,17.8,"53,509","46,147","60,871",23.2,20.0,26.4,"38,794","33,410","44,178",25.0,21.5,28.5,"63,188","61,195","65,181",,,,,,
36,063,NY,Niagara County,"29,906","26,603","33,209",14.1,12.5,15.7,"9,120","7,660","10,580",19.9,16.7,23.1,"6,417","5,410","7,424",18.8,15.9,21.7,"44,006","41,470","46,542",,,,,,
36,065,NY,Oneida County,"33,571","29,386","37,756",15.1,13.2,17.0,"11,915","10,356","13,474",23.7,20.6,26.8,"7,905","6,763","9,047",21.3,18.2,24.4,"46,409","44,504","48,314",,,,,,
36,067,NY,Onondaga County,"63,406","57,377","69,435",14.1,12.8,15.4,"20,645","17,940","23,350",19.5,16.9,22.1,"13,734","11,783","15,685",17.6,15.1,20.1,"50,298","48,881","51,715",,,,,,
36,069,NY,Ontario County,"10,648","8,662","12,634",10.1,8.2,12.0,"3,479","2,765","4,193",14.5,11.5,17.5,"2,348","1,874","2,822",13.0,10.4,15.6,"53,137","50,143","56,131",,,,,,
36,071,NY,Orange County,"41,146","35,241","47,051",11.4,9.8,13.0,"16,989","14,105","19,873",16.9,14.0,19.8,"11,250","9,133","13,367",15.2,12.3,18.1,"65,512","63,763","67,261",,,,,,
36,073,NY,Orleans County,"5,666","4,448","6,884",14.0,11.0,17.0,"2,040","1,578","2,502",21.9,16.9,26.9,"1,322","1,016","1,628",18.9,14.5,23.3,"44,783","41,197","48,369",,,,,,
36,075,NY,Oswego County,"19,818","17,173","22,463",16.9,14.6,19.2,"6,561","5,457","7,665",23.7,19.7,27.7,"4,296","3,539","5,053",21.0,17.3,24.7,"44,371","41,978","46,764",,,,,,
36,077,NY,Otsego County,"8,977","7,023","10,931",15.7,12.3,19.1,"2,142","1,645","2,639",18.9,14.5,23.3,"1,438","1,091","1,785",17.0,12.9,21.1,"42,837","39,757","45,917",,,,,,
36,079,NY,Putnam County,"6,054","4,849","7,259",6.2,5.0,7.4,"1,398","1,075","1,721",6.0,4.6,7.4,952,737,"1,167",5.2,4.0,6.4,"82,585","75,681","89,489",,,,,,
36,081,NY,Queens County,"333,299","310,293","356,305",15.1,14.1,16.1,"99,919","90,326","109,512",22.0,19.9,24.1,"69,239","62,183","76,295",21.4,19.2,23.6,"52,486","51,232","53,740",,,,,,
36,083,NY,Rensselaer County,"20,744","18,100","23,388",13.5,11.8,15.2,"6,540","5,586","7,494",19.6,16.7,22.5,"4,079","3,435","4,723",16.6,14.0,19.2,"51,720","49,316","54,124",,,,,,
36,085,NY,Richmond County,"56,136","48,335","63,937",12.1,10.4,13.8,"18,659","15,521","21,797",17.2,14.3,20.1,"12,648","10,424","14,872",15.8,13.0,18.6,"69,163","66,566","71,760",,,,,,
